Age,Gender,Region,Customer Type,Tenure Type,Meter Type,Tariff Type,Contract Length (months),Payment Plan,Late Payments,Average Payment Delay (days),Direct Debit,Calls Last Month,Complaints Last Year,App Logins,Portal Logins,Email Clicks,Promotions Accepted,Campaigns Responded,Average Monthly Usage,High Usage Flag,Electricity 3M Avg,Gas 3M Avg,Total 3M Avg,Usage Change %,elec_avg,elec_std,elec_trend,gas_avg,gas_std,gas_trend,bill_avg,bill_std,bill_trend
44,Other,England,Domestic,Long-term,Smart,Standard,36,Monthly,0,4.483821372709317,1,3,1,4.0,7.0,4.0,0,0,382.8554950272178,1,270.2328816762004,115.83031464927778,386.0631963254782,0.2370975924461459,247.42841079149403,48.12661876302976,7.658307153069061,135.42708423572387,42.97678900237126,3.707794760560529,44.772798823242994,8.151122719325278,1.768790244993892
42,Male,England,Domestic,Long-term,Standard,Green,12,Quarterly,2,5.132849210982927,1,0,0,5.0,5.0,3.0,0,1,413.0245521454624,1,314.1771337625158,156.22001374932069,470.39714751183647,0.4028626128703737,264.8429380391022,73.20143464194632,25.0689696352757,148.1816141063601,47.49048107402631,-9.728955844530319,56.239525035923855,13.581633985182108,2.7959962406062315
34,Male,Scotland,Domestic,New,Standard,Economy 7,12,Monthly,0,0.1122422449511744,1,0,0,3.0,4.0,4.0,0,1,416.6193496251778,1,340.50506195412214,150.4336742419848,490.9387361961069,0.0326012956535601,270.4882952276381,59.426339101397446,6.9739927677844795,146.13105439753954,36.039612695877466,-0.7461093525848164,46.09882985105719,7.494510351159955,0.40539602539053216
34,Male,England,Domestic,Long-term,Smart,Green,24,Quarterly,1,-0.0802882799106048,1,1,0,1.0,9.0,1.0,0,0,418.0460505029183,1,224.2922728568172,198.7187050109037,423.01097786772095,0.5734799572016147,259.0715315297868,63.996229374619574,-7.701536886128077,158.97451897313147,45.98610097026979,5.355675787831405,55.425995992829236,11.47475811230612,-1.431029305116489
73,Female,England,Domestic,Long-term,Standard,Economy 7,36,Monthly,1,5.165302547296987,0,10,0,5.0,15.0,5.0,0,1,426.7152565659471,1,296.71645272336133,186.20209842139047,482.9185511447518,0.2833621124157384,261.4488457979983,48.548455892114376,3.002073008938768,165.26641076794874,56.56987876431648,6.195697110941186,47.52627844745641,8.921722943093394,-0.13226796363821078
61,Male,Wales,Commercial,New,Smart,Business,24,Monthly,0,6.847055226234753,1,0,1,6.0,9.0,1.0,0,0,381.5199748031978,1,232.6692800885837,163.24159756215803,395.9108776507417,0.1760330104051659,229.54005939525723,40.17725494464644,1.4315120651802535,151.97991540794044,31.49796037659008,6.403245121894243,62.00532298718387,11.302817078177098,2.315626787358154
53,Male,England,Domestic,New,Smart,Standard,12,Monthly,0,3.0733544372553827,0,1,0,6.0,6.0,1.0,0,1,380.0716593270568,1,260.8153835145268,197.1942965523721,458.0096800668988,-0.0752234902577979,223.28823461933098,47.14858029772862,6.8127263241240605,156.78342470772586,48.21672534028104,1.2875081194363247,43.73524850881282,9.053948222573045,0.9358584146278957
23,Male,England,Domestic,New,Smart,Green,12,Quarterly,2,5.440741377939306,1,0,0,2.0,6.0,2.0,0,1,427.50726973957217,1,261.652095418251,209.0053845970396,470.6574800152906,-0.0414331488290345,251.02966503520813,38.92393642366184,-6.883784495702558,176.4776047043641,48.214103147925215,10.472217222134505,57.20555037610825,9.077192260392769,-0.5357483950712681
47,Female,England,Domestic,New,Smart,Green,12,Monthly,0,2.9335616853849515,0,0,1,6.0,9.0,2.0,0,0,406.5002773572085,1,318.1166215056924,166.89425578885687,485.0108772945492,-0.1908571127957124,262.0080024408042,53.775942137889984,8.402928684360667,144.4922749164043,52.76857611502434,-0.9551839860262238,55.88691115663173,10.668509695008817,1.4079891146876655
45,Female,Scotland,Domestic,New,Standard,Standard,36,Monthly,3,7.514865786603336,0,0,0,6.0,10.0,3.0,1,0,397.3462127385069,1,269.8774385879992,191.6180886406545,461.49552722865366,-0.0699827747865783,236.0352022616763,47.766394077919735,4.922347574905907,161.31101047683055,40.383898089638315,0.32144121302756123,47.09240814637846,8.20149113385622,0.8793568321543304
59,Female,Scotland,Domestic,Long-term,Standard,Standard,24,Monthly,0,2.638658175231056,1,1,0,4.0,10.0,1.0,0,0,428.3768747518279,1,328.816235823288,183.8386605163837,512.6548963396717,-0.0626093273550728,268.79853304441343,68.7117742729852,20.041167186522884,159.57834170741455,42.61985413076988,-1.5519587496518197,52.89389638709924,13.969008269899701,2.743668921946059
52,Female,England,Domestic,Long-term,Standard,Economy 7,24,Monthly,0,1.99972914604708,0,2,0,11.0,8.0,1.0,1,1,419.3573997642117,1,354.1923704771059,187.1688581084661,541.361228585572,0.122107973856749,260.56746547614404,77.08272003542578,10.677535009327322,158.7899342880676,42.60973653857029,12.79835775263798,44.35545995124136,12.699130484564716,2.5064444064129945
30,Male,Scotland,Domestic,Long-term,Smart,Standard,24,Monthly,0,-0.6126107945613963,1,1,0,3.0,8.0,4.0,1,2,422.8338410904826,1,260.3315107673049,153.22680283563662,413.5583136029416,0.2965888275851338,269.0732743421011,70.38135522858236,6.2827286532691256,153.7605667483816,48.83326279255603,-6.786502417630058,52.74262561232914,12.754180453946114,0.20008006475275925
62,Male,Scotland,Domestic,Long-term,Standard,Green,24,Monthly,0,3.967841614464581,0,0,0,9.0,7.0,5.0,0,0,370.7196682366829,1,266.4367978675184,174.656414710043,441.0932125775614,0.1659669239519581,234.90503978970992,55.34570117753962,15.10677792878173,135.81462844697305,40.50636507001508,-0.9439744919390178,48.657831071705694,14.15995037161197,2.670383858207517
